height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[0, 0]","[39.6482787, -82.8141896]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0002.JPG,[],[],"[0, 1]",[],"['Links/Photos_02Aug2018_67', [0, 0]]",[],"['Links/Photos_20AUG2018_33', '[0, 0]']","['Links/Photos_01JUN2018_33', '[0, 0]']","[Latitude=39.6478435833, Longitude=-82.814195, BrightnessTotal=0.66968636917, exposureTime=0.002475, xResolution=4000, yResolution=3000, SaturationTotalRed=0.672845452288, SaturationTotalGreen=0.687863715033, SaturationTotalBlue=0.427422791503, time=0.590578703704, GreenIndex=70.7627306667, LAI=0.0705386666667, Utility=573.1353545238238]","[-1, -1, '69.559008', -1]"
33,"[0, 1]","[39.6482787, -82.8142937]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0003.JPG,[],"[1, 1]","[0, 2]","[0, 0]","['Links/Photos_02Aug2018_67', [0, 0]]",[],"['Links/Photos_20AUG2018_33', '[0, 1]']","['Links/Photos_01JUN2018_33', '[0, 1]']","[Latitude=39.6478511389, Longitude=-82.8142915556, BrightnessTotal=0.67422221857, exposureTime=0.002584, xResolution=4000, yResolution=3000, SaturationTotalRed=0.676400434967, SaturationTotalGreen=0.692415216993, SaturationTotalBlue=0.437601037582, time=0.590671296296, GreenIndex=69.559008, LAI=0.066016, Utility=563.3888555256626]","[-1, -1, '69.9310826667', '70.7627306667']"
33,"[0, 2]","[39.6482787, -82.8143979]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0004.JPG,[],"[1, 2]","[0, 3]","[0, 1]","['Links/Photos_02Aug2018_67', [0, 1]]",[],"['Links/Photos_20AUG2018_33', '[0, 2]']","['Links/Photos_01JUN2018_33', '[0, 2]']","[Latitude=39.6478504722, Longitude=-82.8143918611, BrightnessTotal=0.66198720382, exposureTime=0.002598, xResolution=4000, yResolution=3000, SaturationTotalRed=0.658580354902, SaturationTotalGreen=0.681564869608, SaturationTotalBlue=0.432297144118, time=0.590752314815, GreenIndex=69.9310826667, LAI=0.0783466666667, Utility=566.4010204403545]","[-1, -1, '64.7888693333', '69.559008']"
33,"[0, 3]","[39.6482787, -82.8145021]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0005.JPG,[],"[1, 3]","[0, 4]","[0, 2]","['Links/Photos_02Aug2018_67', [0, 1]]",[],"['Links/Photos_20AUG2018_33', '[0, 3]']","['Links/Photos_01JUN2018_33', '[0, 3]']","[Latitude=39.6478521111, Longitude=-82.8144956111, BrightnessTotal=0.665291953329, exposureTime=0.003316, xResolution=4000, yResolution=3000, SaturationTotalRed=0.65416489085, SaturationTotalGreen=0.685584843464, SaturationTotalBlue=0.464844649673, time=0.590844907407, GreenIndex=64.7888693333, LAI=0.0839413333333, Utility=524.7639911368084]","[-1, -1, '63.0601173333', '69.9310826667']"
33,"[0, 4]","[39.6482787, -82.8146062]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0006.JPG,[],"[1, 4]","[0, 5]","[0, 3]","['Links/Photos_02Aug2018_67', [0, 2]]",[],"['Links/Photos_20AUG2018_33', '[0, 4]']","['Links/Photos_01JUN2018_33', '[0, 4]']","[Latitude=39.6478524167, Longitude=-82.8145994167, BrightnessTotal=0.65860763929, exposureTime=0.003425, xResolution=4000, yResolution=3000, SaturationTotalRed=0.644415136601, SaturationTotalGreen=0.679192441503, SaturationTotalBlue=0.468473801961, time=0.590925925926, GreenIndex=63.0601173333, LAI=0.087248, Utility=510.7657224216956]","[-1, -1, '63.1589066667', '64.7888693333']"
33,"[0, 5]","[39.6482787, -82.8147104]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0007.JPG,[],"[1, 5]","[0, 6]","[0, 4]","['Links/Photos_02Aug2018_67', [0, 2]]",[],"['Links/Photos_20AUG2018_33', '[0, 5]']","['Links/Photos_01JUN2018_33', '[0, 5]']","[Latitude=39.64785275, Longitude=-82.8147023611, BrightnessTotal=0.648254212171, exposureTime=0.003316, xResolution=4000, yResolution=3000, SaturationTotalRed=0.632749348039, SaturationTotalGreen=0.669125153268, SaturationTotalBlue=0.459596395752, time=0.591018518519, GreenIndex=63.1589066667, LAI=0.0897653333333, Utility=511.56512169929704]","[-1, -1, '63.6594773333', '63.0601173333']"
33,"[0, 6]","[39.6482787, -82.8148146]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0008.JPG,[],"[1, 6]","[0, 7]","[0, 5]","['Links/Photos_02Aug2018_67', [0, 3]]",[],"['Links/Photos_20AUG2018_33', '[0, 6]']","['Links/Photos_01JUN2018_33', '[0, 6]']","[Latitude=39.6478525278, Longitude=-82.8148071667, BrightnessTotal=0.654978812073, exposureTime=0.00328, xResolution=4000, yResolution=3000, SaturationTotalRed=0.639004405229, SaturationTotalGreen=0.676103606863, SaturationTotalBlue=0.46531630915, time=0.591111111111, GreenIndex=63.6594773333, LAI=0.0938666666667, Utility=515.6186273023096]","[-1, -1, '72.123552', '63.1589066667']"
33,"[0, 7]","[39.6482787, -82.8149187]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0009.JPG,[],"[1, 7]","[0, 8]","[0, 6]","['Links/Photos_02Aug2018_67', [0, 3]]",[],"['Links/Photos_20AUG2018_33', '[0, 7]']","['Links/Photos_01JUN2018_33', '[0, 7]']","[Latitude=39.6478512778, Longitude=-82.8149121389, BrightnessTotal=0.661630341627, exposureTime=0.002641, xResolution=4000, yResolution=3000, SaturationTotalRed=0.655132740196, SaturationTotalGreen=0.682427385621, SaturationTotalBlue=0.428988908497, time=0.59119212963, GreenIndex=72.123552, LAI=0.094576, Utility=584.1536809511465]","[-1, -1, '69.987152', '63.6594773333']"
33,"[0, 8]","[39.6482787, -82.8150229]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0010.JPG,[],"[1, 8]","[0, 9]","[0, 7]","['Links/Photos_02Aug2018_67', [0, 4]]",[],"['Links/Photos_20AUG2018_33', '[0, 8]']","['Links/Photos_01JUN2018_33', '[0, 8]']","[Latitude=39.64785175, Longitude=-82.8150162778, BrightnessTotal=0.679081594517, exposureTime=0.002818, xResolution=4000, yResolution=3000, SaturationTotalRed=0.674353967974, SaturationTotalGreen=0.699084694771, SaturationTotalBlue=0.451324200654, time=0.591284722222, GreenIndex=69.987152, LAI=0.0851893333333, Utility=566.8557758154049]","[-1, -1, '68.2915573333', '72.123552']"
33,"[0, 9]","[39.6482787, -82.8151271]",/data/chumley/tmp/Photos_02Aug2018//North_Path/Images/33.6Feet/Sorte_3/DJI_0011.JPG,[],"[1, 9]","[0, 10]","[0, 8]","['Links/Photos_02Aug2018_67', [0, 4]]",[],"['Links/Photos_20AUG2018_33', '[0, 9]']","['Links/Photos_01JUN2018_33', '[0, 9]']","[Latitude=39.6478540278, Longitude=-82.8151201389, BrightnessTotal=0.671811192233, exposureTime=0.002927, xResolution=4000, yResolution=3000, SaturationTotalRed=0.664953626797, SaturationTotalGreen=0.691916823529, SaturationTotalBlue=0.452987355882, time=0.591365740741, GreenIndex=68.2915573333, LAI=0.095248, Utility=553.1259539260574]","[-1, -1, '64.3888106667', '69.987152']"
