height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,"[corn=1, Utility=NaN]","[-1, -1, -1, -1]"
33,"[0, 0]","[39.6482787, -82.8141896]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0086.JPG,[],[],"[0, 1]",[],"['Links/Photos_01JUN2018_67', [0, 0]]",[],"['Links/Photos_02Aug2018_33', '[0, 0]']",[],"[Latitude=39.6481708333, Longitude=-82.8142916111, BrightnessTotal=0.854387017483, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.882425385519, SaturationTotalGreen=0.853779679841, SaturationTotalBlue=0.753611353656, time=0.540509259259, corn=1, Utility=0.6571400972887234]","[-1, -1, -1, -1]"
33,"[0, 1]","[39.6482787, -82.8142937]",[],[],"[1, 1]","[0, 2]","[0, 0]","['Links/Photos_01JUN2018_67', [0, 0]]",[],"['Links/Photos_02Aug2018_33', '[0, 1]']",[],"[corn=1, Utility=NaN]","[-1, -1, '0.6495619710442553', '0.6571400972887234']"
33,"[0, 2]","[39.6482787, -82.8143979]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0085.JPG,[],"[1, 2]","[0, 3]","[0, 1]","['Links/Photos_01JUN2018_67', [0, 1]]",[],"['Links/Photos_02Aug2018_33', '[0, 2]']",[],"[Latitude=39.6481715278, Longitude=-82.81439825, BrightnessTotal=0.825739303547, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.861519812092, SaturationTotalGreen=0.823511297488, SaturationTotalBlue=0.710790632659, time=0.540416666667, corn=1, Utility=0.6495619710442553]","[-1, -1, '0.671288548756383', -1]"
33,"[0, 3]","[39.6482787, -82.8145021]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0004.JPG,[],"[1, 3]","[0, 4]","[0, 2]","['Links/Photos_01JUN2018_67', [0, 1]]",[],"['Links/Photos_02Aug2018_33', '[0, 3]']",[],"[Latitude=39.6482767222, Longitude=-82.8146059167, BrightnessTotal=0.886399281095, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.883050857843, SaturationTotalGreen=0.89534386489, SaturationTotalBlue=0.802966107537, time=0.533263888889, corn=1, Utility=0.671288548756383]","[-1, '0.6560296865228936', '0.6747490251459574', '0.6495619710442553']"
33,"[0, 4]","[39.6482787, -82.8146062]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0003.JPG,[],"[1, 4]","[0, 5]","[0, 3]","['Links/Photos_01JUN2018_67', [0, 2]]",[],"['Links/Photos_02Aug2018_33', '[0, 4]']",[],"[Latitude=39.6482768056, Longitude=-82.814606, BrightnessTotal=0.899119949372, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.896785398795, SaturationTotalGreen=0.90732299326, SaturationTotalBlue=0.820180147059, time=0.533252314815, corn=1, Utility=0.6747490251459574]","[-1, '0.6529599422213191', '0.6665130069917021', '0.671288548756383']"
33,"[0, 5]","[39.6482787, -82.8147104]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0005.JPG,[],"[1, 5]","[0, 6]","[0, 4]","['Links/Photos_01JUN2018_67', [0, 2]]",[],"['Links/Photos_02Aug2018_33', '[0, 5]']",[],"[Latitude=39.64828175, Longitude=-82.8147140278, BrightnessTotal=0.868563452528, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.873734094158, SaturationTotalGreen=0.875430364073, SaturationTotalBlue=0.77509899663, time=0.533344907407, corn=1, Utility=0.6665130069917021]","[-1, '0.6532080862182978', '0.6636567836790639', '0.6747490251459574']"
33,"[0, 6]","[39.6482787, -82.8148146]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0006.JPG,[],"[1, 6]","[0, 7]","[0, 5]","['Links/Photos_01JUN2018_67', [0, 3]]",[],"['Links/Photos_02Aug2018_33', '[0, 6]']",[],"[Latitude=39.6482826389, Longitude=-82.8148170278, BrightnessTotal=0.857653493134, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.861256076389, SaturationTotalGreen=0.864964716095, SaturationTotalBlue=0.765271663092, time=0.533425925926, corn=1, Utility=0.6636567836790639]","[-1, '0.6566447239989361', '0.6650718673087659', '0.6665130069917021']"
33,"[0, 7]","[39.6482787, -82.8149187]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0007.JPG,[],"[1, 7]","[0, 8]","[0, 6]","['Links/Photos_01JUN2018_67', [0, 3]]",[],"['Links/Photos_02Aug2018_33', '[0, 7]']",[],"[Latitude=39.6482825278, Longitude=-82.8149209722, BrightnessTotal=0.864363954591, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.868586997038, SaturationTotalGreen=0.872014539931, SaturationTotalBlue=0.765634369894, time=0.533506944444, corn=1, Utility=0.6650718673087659]","[-1, '0.6521143984281276', '0.6608216664919574', '0.6636567836790639']"
33,"[0, 8]","[39.6482787, -82.8150229]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0008.JPG,[],"[1, 8]","[0, 9]","[0, 7]","['Links/Photos_01JUN2018_67', [0, 4]]",[],"['Links/Photos_02Aug2018_33', '[0, 8]']",[],"[Latitude=39.6482823056, Longitude=-82.8150261111, BrightnessTotal=0.845905970116, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.874543492136, SaturationTotalGreen=0.845185751123, SaturationTotalBlue=0.743852749694, time=0.533599537037, corn=1, Utility=0.6608216664919574]","[-1, '0.6565009718459148', '0.6541886645238297', '0.6650718673087659']"
33,"[0, 9]","[39.6482787, -82.8151271]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0009.JPG,[],"[1, 9]","[0, 10]","[0, 8]","['Links/Photos_01JUN2018_67', [0, 4]]",[],"['Links/Photos_02Aug2018_33', '[0, 9]']",[],"[Latitude=39.6482835278, Longitude=-82.8151296667, BrightnessTotal=0.820780870302, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.851513263378, SaturationTotalGreen=0.819732051675, SaturationTotalBlue=0.713456801471, time=0.533680555556, corn=1, Utility=0.6541886645238297]","[-1, '0.6494919879867234', '0.6602390164418722', '0.6608216664919574']"
